identifier 3,identifier,digital_origin,project_title,project_abstract,project_url,language,form,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,subject_geographic 1,subject_geographic 2,subject_geographic 3,identifier 2,object_in_context,abstract,public_note,public_note 2,item_type,date_text,date_single_start,date_range_end,date_qualifier,title,rights,repository,record_source,name,collection,collection_identifier,shelf_locator,file_thumbnail_URL,subject_temporal
0012_000580_000201_0001,adams_76,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,Shacks,,,,"LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426, -83.43683","Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343, -83.50822",,adams:76,http://digital.lib.utk.edu/collections/islandora/object/adams%3A76,"Adams occupied this camp on Mount Le Conte, which consisted of a tar-paper covered lean-to north of Cliff Top, in 1925.","""padams8"" written in pencil on back of photo.",Date inferred from archival collection dates.,still image,Unknown,1923,2010,inferred,"Tar-paper shack of Mt. LeConte where first two Park Commissioners Parties stayed, built in 1924","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 1, Photo 4",http://digital.lib.utk.edu/collections/islandora/object/adams%3A76/datastream/TN/view/Tar-paper%20shack%20of%20Mt.%20LeConte%20where%20first%20two%20Park%20Commissioners%20Parties%20stayed%2C%20built%20in%201924.jpg,
0012_000580_000212_0001,adams_86,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,Landscapes | http://id.loc.gov/authorities/subjects/sh85074392,,,,"LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426, -83.43683","Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343, -83.50822",,adams:86,http://digital.lib.utk.edu/collections/islandora/object/adams%3A86,,"""padams27"" written in pencil on back of photo.",,still image,1925,1925,,,"Mt. LeConte, Clifftop to right, West Peak to Left. Taken 1925","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 3, Photo 5",http://digital.lib.utk.edu/collections/islandora/object/adams%3A86/datastream/TN/view/Mt.%20LeConte%2C%20Clifftop%20to%20right%2C%20West%20Peak%20to%20Left.%20Taken%201925.jpg,1925
0012_000580_000219_0001,adams_91,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,Log cabins | http://id.loc.gov/authorities/subjects/sh85078077,Persons | http://id.loc.gov/authorities/subjects/sh85100163,,,"LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426, -83.43683","Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343, -83.50822",,adams:91,http://digital.lib.utk.edu/collections/islandora/object/adams%3A91,,"""padams22"" written in pencil on back of photo.",,still image,1926,1926,,,"CampYard, 1926; Adams Cabin on Left, 'House That Jack Built' on Right, Tables and people in middle","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 3, Photo 24",http://digital.lib.utk.edu/collections/islandora/object/adams%3A91/datastream/TN/view/CampYard%2C%201926%3B%20Adams%20Cabin%20on%20Left%2C%20%27House%20That%20Jack%20Built%27%20on%20Right%2C%20Tables%20and%20people%20in%20middle.jpg,1926
0012_000580_000216_0001,adams_89,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,Buildings | http://id.loc.gov/authorities/subjects/sh85017769,Roads | http://id.loc.gov/authorities/subjects/sh85114487,Trails | http://id.loc.gov/authorities/subjects/sh85136805,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343, -83.50822",,,adams:89,http://digital.lib.utk.edu/collections/islandora/object/adams%3A89,,"""padams24"" written in pencil on back of photo.",,still image,1923,1923,,,Ogle's Store and Post Office 1923. River road to right. Looking from Pi-Phi School,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 3, Photo 12",http://digital.lib.utk.edu/collections/islandora/object/adams%3A89/datastream/TN/view/Ogle%27s%20Store%20and%20Post%20Office%201923.%20River%20road%20to%20right.%20Looking%20from%20Pi-Phi%20School.jpg,1923
0012_000580_000218_0001,adams_90,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,Log cabins | http://id.loc.gov/authorities/subjects/sh85078077,,,,"LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426, -83.43683","Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343, -83.50822",,adams:90,http://digital.lib.utk.edu/collections/islandora/object/adams%3A90,"Caption on back of photo reads:  ""Fireplace opening can be seen. Picture made by Paul J. Adams"".","""padams21"" written in pencil on back of photo.",,still image,1926,1926,,,"House That Jack Built' Basin Sp. Camp, during construction, looking down hill, Picture taken in early summer of 1926.","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Adams, Paul J. | URI: http://id.loc.gov/authorities/names/n84016308 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 3, Photo 22",http://digital.lib.utk.edu/collections/islandora/object/adams%3A90/datastream/TN/view/House%20That%20Jack%20Built%27%20Basin%20Sp.%20Camp%2C%20during%20construction%2C%20looking%20down%20hill%2C%20Picture%20taken%20in%20early%20summer%20of%201926..jpg,1926
0012_000580_000226_0001,adams_98,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,,,,,"Chilhowee (Extinct city) | Coordinates: 35.55731, -84.01046","Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343, -83.50822",,adams:98,http://digital.lib.utk.edu/collections/islandora/object/adams%3A98,"Handwriting beneath photo reads: ""Smoky Jack - Packing.""  Adams trained Cumberland Jack to carry supplies from Ogle's Store in Gatlinburg back to the camp on Mt. Le Conte.","""padams30"" written in pencil on back of photo.",,still image,1932,1932,,,"Cumberland Jack II, Winter of 1932 on Chillhowee Mt.","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 4, Photo 30",http://digital.lib.utk.edu/collections/islandora/object/adams%3A98/datastream/TN/view/Cumberland%20Jack%20II%2C%20Winter%20of%201932%20on%20Chillhowee%20Mt..jpg,1932
0012_000580_000204_0001,adams_79,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,Persons | http://id.loc.gov/authorities/subjects/sh85100163,,,,"LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426, -83.43683",,,adams:79,http://digital.lib.utk.edu/collections/islandora/object/adams%3A79,,"""padams5"" written in pencil on back of photo.",,still image,1974-06-07,1974-06-07,,,"The Cumberland Jack grave stone made by Jim Robertson in front of studio, June 7, 1974","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 1, Photo 38",http://digital.lib.utk.edu/collections/islandora/object/adams%3A79/datastream/TN/view/The%20Cumberland%20Jack%20grave%20stone%20made%20by%20Jim%20Robertson%20in%20front%20of%20studio%2C%20June%207%2C%201974.jpg,1974-06-07
0012_000580_000224_0001,adams_96,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,Persons | http://id.loc.gov/authorities/subjects/sh85100163,,,,,,,adams:96,http://digital.lib.utk.edu/collections/islandora/object/adams%3A96,,"""padams39 (1) p.5"" written on back of photo.",,still image,1925,1925,,,"Cumberland Jack II and Paul J. Adams, winter of 1925, Knoxville","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 4, Photo 20",http://digital.lib.utk.edu/collections/islandora/object/adams%3A96/datastream/TN/view/Cumberland%20Jack%20II%20and%20Paul%20J.%20Adams%2C%20winter%20of%201925%2C%20Knoxville.jpg,1925
0012_000580_000207_0001,adams_82,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,Log cabins | http://id.loc.gov/authorities/subjects/sh85078077,,,,"LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426, -83.43683","Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343, -83.50822",,adams:82,http://digital.lib.utk.edu/collections/islandora/object/adams%3A82,,"""padams10"" written in pencil on back of photo.",,still image,1925,1925,,,"First Log Cabin on Top of Mt. LeConte, winter of 1925-'26 Built by Paul J. Adams","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 2, Photo 17",http://digital.lib.utk.edu/collections/islandora/object/adams%3A82/datastream/TN/view/First%20Log%20Cabin%20on%20Top%20of%20Mt.%20LeConte%2C%20winter%20of%201925-%2726%20Built%20by%20Paul%20J.%20Adams.jpg,1925
0012_000580_000228_0001,adams_100,reformatted digital,Paul J. Adams Photograph Collection,"In the 1920s, Paul Jay Adams led several expeditions to the summit of Mount Le Conte, which is widely regarded as the ""crown jewel"" of the Great Smoky Mountains. From 1925 to 1926, Adams operated a camp on Mount Le Conte, near the site of the present day Le Conte Lodge. During those years, Adams was accompanied by a German shepherd named ""Cumberland Jack."" Adams and Cumberland Jack remained at the camp until May 10, 1926, when Jack Huff took over its management. The Ilene Jones Cornwell Papers, MS.2054, in the University of Tennessee Libraries Special Collections contain a number of photographs from Adams's expeditions during those years. These rare photos provide a unique glimpse into one of the earliest camps built on Mount Le Conte.",http://digital.lib.utk.edu/collections/adamscollection,zxx,photographs | http://vocab.getty.edu/aat/300046300,Persons | http://id.loc.gov/authorities/subjects/sh85100163,,,,,,,adams:100,http://digital.lib.utk.edu/collections/islandora/object/adams%3A100,"Cumberland Jack lived at Adams's farm in Alpine from 1928 until his death in 1935 at age 14 years, 5 months.","""padams38"" written in pencil on back of photo.",,still image,1934,1934,,,"Cumberland Jack, taken at Alpine, Tennessee 1934 by Paul J. Adams","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Adams, Paul J. | URI: http://id.loc.gov/authorities/names/n84016308 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Ilene Jones Cornwell Papers,MS.2054,"Series I, Box 1, Folder 4, Photo 37",http://digital.lib.utk.edu/collections/islandora/object/adams%3A100/datastream/TN/view/Cumberland%20Jack%2C%20taken%20at%20Alpine%2C%20Tennessee%201934%20by%20Paul%20J.%20Adams.jpg,1934
